trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.1, 'e': 0.5066169923655895}",25,11,22.14314569535017,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.1, 'e': 0.5015760690660555}",20,2,-87.8470220889218,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 2}",1
71,False,"{'a': 0.1, 'e': 0.49658530379140947}",20,15,8.507317478535542,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.1, 'e': 0.4916441974609651}",20,0,-50.1745292584947,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
73,False,"{'a': 0.1, 'e': 0.4867522559599717}",20,0,-63.137173792471756,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
74,False,"{'a': 0.1, 'e': 0.48190899009020244}",20,6,-14.426177140578364,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.1, 'e': 0.4771139155210344}",20,0,23.576418937639026,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.1, 'e': 0.4723665527410147}",20,9,-61.355701521242494,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
77,False,"{'a': 0.1, 'e': 0.46766642700990924}",20,12,-14.980161698128498,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.46301306831122807}",20,0,-45.32647687022235,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
79,False,"{'a': 0.1, 'e': 0.4584060113052235}",25,2,-85.4277322366677,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 2}",1
80,False,"{'a': 0.1, 'e': 0.45384479528235583}",20,0,-38.435967709836724,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
81,False,"{'a': 0.1, 'e': 0.44932896411722156}",30,0,-3.482335362161841,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.4448580662229411}",20,0,-19.455570476900583,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
83,False,"{'a': 0.1, 'e': 0.44043165450599925}",20,0,9.59877052046128,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
84,False,"{'a': 0.1, 'e': 0.43604928632153556}",25,0,-20.656463570978456,"{0: 21, 1: 0, 2: 3, 3: 1, 4: 0}",0
85,False,"{'a': 0.1, 'e': 0.43171052342907973}",20,2,-45.39489238143789,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
